1779959446.216646 server started (21110): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779959446.216673 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779959446.216680 using libevent 2.1.12-stable poll
1779959446.216682 using ncurses 6.4 20240113
1779959446.216883 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1779959446.216885 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1779959446.216886 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1779959446.216888 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1779959446.216890 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1779959446.216892 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1779959446.216894 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1779959446.216896 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1779959446.216898 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1779959446.216903 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1779959446.216905 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1779959446.216907 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1779959446.216909 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1779959446.216911 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1779959446.216913 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1779959446.216915 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1779959446.216917 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1779959446.216918 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1779959446.216920 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1779959446.216929 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1779959446.216931 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1779959446.216933 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1779959446.216935 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1779959446.216937 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1779959446.216939 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1779959446.216941 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1779959446.216943 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1779959446.216945 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1779959446.216947 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1779959446.216948 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1779959446.216950 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1779959446.216952 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1779959446.216954 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1779959446.216956 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1779959446.216958 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1779959446.216960 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1779959446.216962 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1779959446.216964 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1779959446.216966 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1779959446.216968 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1779959446.216970 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1779959446.216972 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1779959446.216974 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1779959446.216976 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1779959446.216978 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1779959446.216980 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1779959446.216982 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1779959446.216984 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1779959446.216986 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1779959446.216987 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1779959446.216989 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1779959446.216991 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1779959446.216993 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1779959446.216996 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1779959446.216997 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1779959446.217003 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1779959446.217005 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1779959446.217007 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1779959446.217009 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1779959446.217011 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1779959446.217013 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1779959446.217015 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1779959446.217017 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1779959446.217019 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1779959446.217021 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1779959446.217023 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1779959446.217025 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1779959446.217027 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1779959446.217029 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1779959446.217031 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1779959446.217033 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1779959446.217035 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1779959446.217037 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1779959446.217039 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1779959446.217041 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1779959446.217043 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1779959446.217049 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1779959446.217051 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1779959446.217053 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1779959446.217055 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1779959446.217057 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1779959446.217059 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1779959446.217061 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1779959446.217063 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1779959446.217065 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1779959446.217067 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1779959446.217069 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1779959446.217071 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1779959446.217074 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1779959446.217076 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1779959446.217078 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1779959446.217080 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1779959446.217082 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1779959446.217084 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1779959446.217086 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1779959446.217088 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1779959446.217090 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1779959446.217092 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1779959446.217094 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1779959446.217096 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1779959446.217098 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1779959446.217101 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1779959446.217103 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1779959446.217105 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1779959446.217107 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1779959446.217109 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1779959446.217111 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1779959446.217113 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1779959446.217115 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1779959446.217117 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1779959446.217119 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1779959446.217121 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1779959446.217123 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1779959446.217131 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1779959446.217134 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1779959446.217139 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1779959446.217141 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1779959446.217143 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1779959446.217146 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1779959446.217148 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1779959446.217150 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1779959446.217152 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1779959446.217154 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1779959446.217156 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1779959446.217158 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1779959446.217160 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1779959446.217162 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1779959446.217164 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1779959446.217166 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1779959446.217168 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1779959446.217170 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1779959446.217176 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1779959446.217178 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1779959446.217180 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1779959446.217182 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1779959446.217184 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1779959446.217186 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1779959446.217188 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1779959446.217190 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1779959446.217192 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1779959446.217195 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1779959446.217197 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1779959446.217199 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1779959446.217201 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1779959446.217203 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1779959446.217205 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1779959446.217207 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1779959446.217209 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1779959446.217211 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1779959446.217214 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1779959446.217216 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1779959446.217218 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1779959446.217220 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1779959446.217222 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1779959446.217224 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1779959446.217226 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1779959446.217228 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1779959446.217230 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1779959446.217232 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1779959446.217235 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1779959446.217237 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1779959446.217239 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1779959446.217241 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1779959446.217246 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1779959446.217249 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1779959446.217251 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1779959446.217253 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1779959446.217255 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1779959446.217257 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1779959446.217259 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1779959446.217262 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1779959446.217264 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1779959446.217266 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1779959446.217268 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1779959446.217270 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1779959446.217272 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1779959446.217274 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1779959446.217287 yylex_token: end at WS
1779959446.217289 yylex_token: bind
1779959446.217291 yylex_token: end at WS
1779959446.217293 yylex_token: -N
1779959446.217296 yylex_token: end at WS
1779959446.217298 yylex_token: Send the prefix key
1779959446.217300 yylex_token: end at WS
1779959446.217301 yylex_token: C-b
1779959446.217304 yylex_token: end at WS
1779959446.217305 yylex_token: send-prefix
1779959446.217311 cmd_parse_build_commands 0:0: bind
1779959446.217316 cmd_parse_build_commands 0:1: -N
1779959446.217318 cmd_parse_build_commands 0:2: Send the prefix key
1779959446.217320 cmd_parse_build_commands 0:3: C-b
1779959446.217322 cmd_parse_build_commands 0:4 0:0: send-prefix
1779959446.217332 cmd_parse_build_commands 0:0: send-prefix
1779959446.217342 args_parse: flags end at 1 of 1
1779959446.217348 cmd_parse_build_commands: send-prefix
1779959446.217350 args_parse_flags: next -N
1779959446.217353 args_parse_flag_argument: -N = Send the prefix key
1779959446.217355 args_parse_flags: next C-b
1779959446.217357 args_parse: flags end at 3 of 5
1779959446.217359 args_parse: 3 = C-b (type STRING)
1779959446.217361 args_parse: 4 = send-prefix (type COMMANDS)
1779959446.217372 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1779959446.217377 cmdq_get_command: [bind-key/0x647b21e5a880] group 2
1779959446.217382 cmdq_append <global>: [bind-key/0x647b21e5a880]
1779959446.217387 yylex_token: end at WS
1779959446.217390 yylex_token: bind
1779959446.217392 yylex_token: end at WS
1779959446.217395 yylex_token: -N
1779959446.217398 yylex_token: end at WS
1779959446.217401 yylex_token: Rotate through the panes
1779959446.217404 yylex_token: end at WS
1779959446.217406 yylex_token: C-o
1779959446.217409 yylex_token: end at WS
1779959446.217412 yylex_token: rotate-window
1779959446.217416 cmd_parse_build_commands 0:0: bind
1779959446.217419 cmd_parse_build_commands 0:1: -N
1779959446.217421 cmd_parse_build_commands 0:2: Rotate through the panes
1779959446.217424 cmd_parse_build_commands 0:3: C-o
1779959446.217430 cmd_parse_build_commands 0:4 0:0: rotate-window
1779959446.217435 cmd_parse_build_commands 0:0: rotate-window
1779959446.217440 args_parse: flags end at 1 of 1
1779959446.217443 cmd_parse_build_commands: rotate-window
1779959446.217446 args_parse_flags: next -N
1779959446.217449 args_parse_flag_argument: -N = Rotate through the panes
1779959446.217452 args_parse_flags: next C-o
1779959446.217455 args_parse: flags end at 3 of 5
1779959446.217457 args_parse: 3 = C-o (type STRING)
1779959446.217461 args_parse: 4 = rotate-window (type COMMANDS)
1779959446.217468 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1779959446.217472 cmdq_get_command: [bind-key/0x647b21e5ae20] group 10
1779959446.217475 cmdq_append <global>: [bind-key/0x647b21e5ae20]
1779959446.217479 yylex_token: end at WS
1779959446.217482 yylex_token: bind
1779959446.217484 yylex_token: end at WS
1779959446.217487 yylex_token: -N
1779959446.217490 yylex_token: end at WS
1779959446.217492 yylex_token: Suspend the current client
1779959446.217494 yylex_token: end at WS
1779959446.217495 yylex_token: C-z
1779959446.217498 yylex_token: end at WS
1779959446.217499 yylex_token: suspend-client
1779959446.217502 cmd_parse_build_commands 0:0: bind
1779959446.217504 cmd_parse_build_commands 0:1: -N
1779959446.217506 cmd_parse_build_commands 0:2: Suspend the current client
1779959446.217508 cmd_parse_build_commands 0:3: C-z
1779959446.217510 cmd_parse_build_commands 0:4 0:0: suspend-client
1779959446.217513 cmd_parse_build_commands 0:0: suspend-client
1779959446.217517 args_parse: flags end at 1 of 1
1779959446.217520 cmd_parse_build_commands: suspend-client
1779959446.217522 args_parse_flags: next -N
1779959446.217524 args_parse_flag_argument: -N = Suspend the current client
1779959446.217525 args_parse_flags: next C-z
1779959446.217527 args_parse: flags end at 3 of 5
1779959446.217529 args_parse: 3 = C-z (type STRING)
1779959446.217531 args_parse: 4 = suspend-client (type COMMANDS)
1779959446.217536 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1779959446.217539 cmdq_get_command: [bind-key/0x647b21e58a30] group 18
1779959446.217541 cmdq_append <global>: [bind-key/0x647b21e58a30]
1779959446.217544 yylex_token: end at WS
1779959446.217545 yylex_token: bind
1779959446.217547 yylex_token: end at WS
1779959446.217549 yylex_token: -N
1779959446.217551 yylex_token: end at WS
1779959446.217553 yylex_token: Select next layout
1779959446.217562 yylex_token: end at WS
1779959446.217563 yylex_token: Space
1779959446.217565 yylex_token: end at WS
1779959446.217567 yylex_token: next-layout
1779959446.217570 cmd_parse_build_commands 0:0: bind
1779959446.217571 cmd_parse_build_commands 0:1: -N
1779959446.217573 cmd_parse_build_commands 0:2: Select next layout
1779959446.217575 cmd_parse_build_commands 0:3: Space
1779959446.217577 cmd_parse_build_commands 0:4 0:0: next-layout
1779959446.217580 cmd_parse_build_commands 0:0: next-layout
1779959446.217583 args_parse: flags end at 1 of 1
1779959446.217585 cmd_parse_build_commands: next-layout
1779959446.217587 args_parse_flags: next -N
1779959446.217589 args_parse_flag_argument: -N = Select next layout
1779959446.217591 args_parse_flags: next Space
1779959446.217593 args_parse: flags end at 3 of 5
1779959446.217595 args_parse: 3 = Space (type STRING)
1779959446.217597 args_parse: 4 = next-layout (type COMMANDS)
1779959446.217602 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1779959446.217604 cmdq_get_command: [bind-key/0x647b21e591d0] group 26
1779959446.217606 cmdq_append <global>: [bind-key/0x647b21e591d0]
1779959446.217610 yylex_token: end at WS
1779959446.217613 yylex_token: bind
1779959446.217616 yylex_token: end at WS
1779959446.217618 yylex_token: -N
1779959446.217622 yylex_token: end at WS
1779959446.217624 yylex_token: Break pane to a new window
1779959446.217627 yylex_token: end at WS
1779959446.217629 yylex_token: !
1779959446.217632 yylex_token: end at WS
1779959446.217635 yylex_token: break-pane
1779959446.217638 cmd_parse_build_commands 0:0: bind
1779959446.217641 cmd_parse_build_commands 0:1: -N
1779959446.217643 cmd_parse_build_commands 0:2: Break pane to a new window
1779959446.217646 cmd_parse_build_commands 0:3: !
1779959446.217649 cmd_parse_build_commands 0:4 0:0: break-pane
1779959446.217653 cmd_parse_build_commands 0:0: break-pane
1779959446.217656 args_parse: flags end at 1 of 1
1779959446.217660 cmd_parse_build_commands: break-pane
1779959446.217662 args_parse_flags: next -N
1779959446.217665 args_parse_flag_argument: -N = Break pane to a new window
1779959446.217668 args_parse_flags: next !
1779959446.217670 args_parse: flags end at 3 of 5
1779959446.217673 args_parse: 3 = ! (type STRING)
1779959446.217676 args_parse: 4 = break-pane (type COMMANDS)
1779959446.217682 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1779959446.217686 cmdq_get_command: [bind-key/0x647b21e597d0] group 34
1779959446.217689 cmdq_append <global>: [bind-key/0x647b21e597d0]
1779959446.217693 yylex_token: end at WS
1779959446.217695 yylex_token: bind
1779959446.217800 yylex_token: end at WS
1779959446.217811 yylex_token: -N
1779959446.217815 yylex_token: end at WS
1779959446.217818 yylex_token: Split window vertically
1779959446.217821 yylex_token: end at WS
1779959446.217824 yylex_token: "
1779959446.217827 yylex_token: end at WS
1779959446.217830 yylex_token: split-window
1779959446.217835 cmd_parse_build_commands 0:0: bind
1779959446.217838 cmd_parse_build_commands 0:1: -N
1779959446.217841 cmd_parse_build_commands 0:2: Split window vertically
1779959446.217844 cmd_parse_build_commands 0:3: "
1779959446.217848 cmd_parse_build_commands 0:4 0:0: split-window
1779959446.217853 cmd_parse_build_commands 0:0: split-window
1779959446.217893 args_parse: flags end at 1 of 1
1779959446.217896 cmd_parse_build_commands: split-window
1779959446.217898 args_parse_flags: next -N
1779959446.217900 args_parse_flag_argument: -N = Split window vertically
1779959446.217902 args_parse_flags: next "
1779959446.217904 args_parse: flags end at 3 of 5
1779959446.217906 args_parse: 3 = " (type STRING)
1779959446.217909 args_parse: 4 = split-window (type COMMANDS)
1779959446.217915 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1779959446.217918 cmdq_get_command: [bind-key/0x647b21e5be80] group 42
1779959446.217920 cmdq_append <global>: [bind-key/0x647b21e5be80]
1779959446.217923 yylex_token: end at WS
1779959446.217933 yylex_token: bind
1779959446.217935 yylex_token: end at WS
1779959446.217937 yylex_token: -N
1779959446.217939 yylex_token: end at WS
1779959446.217941 yylex_token: List all paste buffers
1779959446.217943 yylex_token: end at WS
1779959446.217944 yylex_token: #
1779959446.217947 yylex_token: end at WS
1779959446.217948 yylex_token: list-buffers
1779959446.217951 cmd_parse_build_commands 0:0: bind
1779959446.217953 cmd_parse_build_commands 0:1: -N
1779959446.217955 cmd_parse_build_commands 0:2: List all paste buffers
1779959446.217957 cmd_parse_build_commands 0:3: #
1779959446.217959 cmd_parse_build_commands 0:4 0:0: list-buffers
1779959446.217961 cmd_parse_build_commands 0:0: list-buffers
1779959446.217964 args_parse: flags end at 1 of 1
1779959446.217966 cmd_parse_build_commands: list-buffers
1779959446.217968 args_parse_flags: next -N
1779959446.217970 args_parse_flag_argument: -N = List all paste buffers
1779959446.217972 args_parse_flags: next #
1779959446.217974 args_parse: flags end at 3 of 5
1779959446.217976 args_parse: 3 = # (type STRING)
1779959446.217978 args_parse: 4 = list-buffers (type COMMANDS)
1779959446.217982 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1779959446.217985 cmdq_get_command: [bind-key/0x647b21e5c7c0] group 50
1779959446.217987 cmdq_append <global>: [bind-key/0x647b21e5c7c0]
1779959446.217995 yylex_token: end at WS
1779959446.217997 yylex_token: bind
1779959446.217999 yylex_token: end at WS
1779959446.218001 yylex_token: -N
1779959446.218003 yylex_token: end at WS
1779959446.218005 yylex_token: Rename current session
1779959446.218007 yylex_token: end at WS
1779959446.218008 yylex_token: $
